Item,Item-en,冒烟洞二级,马脖子,杨道河,朝天吼,石家坝,高坑,塘坂,新坪垭,官溪,三叠岭,峒牌,爱布二级,爱布三级,盘溪二级,盘溪三级,盘溪四级
原职工人数,Employees before,17,24,11,7,6,14,55,10,26,19,12,11,10,11,12,11
改造后职工人数,Employees after,19,17,10,7,6,14,61,10,20,17,9,11,10,9,9,9
原女职工人数,Female employees before,5,11,4,2,1,2,11,5,12,2,6,3,2,5,4,3
改造后女职工人数,Female employees after,5,7,4,2,0,2,17,5,9,2,4,3,2,3,2,4
原女领导人数,Female leaders before,3,0,1,2,1,1,1,2,3,0,3,2,1,2,2,1
改造后女领导人数,Female leaders after,3,0,2,2,0,1,1,2,3,1,2,1,1,1,2,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
author,UNIDO-GEF China SHP Capacity Upgrade Project,,,,,,,,,,,,,,,,
year,2023,,,,,,,,,,,,,,,,
UNIDO Open Data,https://open.unido.org/projects/CN/projects/140196,,,,,,,,,,,,,,,,
Website,http://www.icshp.org/small-and-green,,,,,,,,,,,,,,,,